Наименование;Параметр;;;;;От;До;Среднее (Эпсилон);Количество чисел в диапазоне;;М(10);;D(10);;;H(x);
Количество учеников использующих ИС;2586;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6944;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4718;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3015;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9158;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2293;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;8322;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;7369;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9365;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;5659;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4345;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2347;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1896;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2035;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2078;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6153;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1172;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;530;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4422;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4496;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4448;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9599;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6850;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;293;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2093;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2066;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;8104;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9223;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9889;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;7407;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4650;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6151;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3726;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;564;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;8808;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4332;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9008;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;5761;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1219;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;8633;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1228;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;5917;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3474;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1004;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;468;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;9328;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4934;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3205;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1938;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1995;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2413;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;8660;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;839;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6642;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3124;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2880;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1126;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3312;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;579;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3537;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;172;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;4206;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;3612;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;2336;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6664;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;1914;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;6103;;;;;;;;;;;;;;;;
Количество учеников использующих ИС;5680;;;;;;;;;;;;;;;;
